X_ID,long,lat,ISO_CTRY,ID,LVLID,NAME,reading_hr,books_read,cgpa,love_reading,met_standard,finish_book
1,7.524532504,5.456714776,NG,1,NGP019000000000000000,Abia,3.059999943,4,3.00999999,2,2,2
2,12.4007758,9.32433789,NG,2,NGP002000000000000000,Adamawa,2.25,5,2.690000057,3,2,2
3,7.846249127,4.9070014,NG,3,NGP003000000000000000,Akwa Ibom,2.200000048,3,3.519999981,2,2,2
4,6.935840398,6.227947442,NG,4,NGP004000000000000000,Anambra,2.660000086,4,3.430000067,2,2,2
5,9.985479976,10.78480811,NG,5,NGP005000000000000000,Bauchi,2.75,4,3.130000114,2,3,2
6,6.072448493,4.772090093,NG,6,NGP006000000000000000,Bayelsa,2.25,5,2.75999999,3,2,2
7,8.740102169,7.334707619,NG,7,NGP007000000000000000,Benue,3.059999943,5,3.130000114,2,2,2
8,13.14745078,11.88887552,NG,8,NGP008000000000000000,Borno,2,2,2,1,2,1
9,8.598483085,5.845774459,NG,9,NGP009000000000000000,Cross River,3.5,3,3.50999999,2,2,2
10,5.936885032,5.704671919,NG,10,NGP010000000000000000,Delta,2.420000076,3,3.5,2,2,2
11,8.018417673,6.264638096,NG,11,NGP011000000000000000,Ebonyi,1.5,5,3.359999895,2,2,2
12,5.930578222,6.634537132,NG,12,NGP012000000000000000,Edo,2.559999943,4,3.00999999,2,2,2
13,5.310912966,7.718981646,NG,13,NGP013000000000000000,Ekiti,2.640000105,3,3.059999943,2,2,2
14,7.439061768,6.532745377,NG,14,NGP014000000000000000,Enugu,2.779999971,2,3.930000067,2,2,2
15,7.189050825,8.906233868,NG,15,NGP015000000000000000,"FCT, Abuja",2,8,3.730000019,2,2,3
16,11.19031511,10.38435984,NG,16,NGP016000000000000000,Gombe,4,2,3.599999905,2,2,1
17,7.058825867,5.572058855,NG,17,NGP017000000000000000,Imo,2.75,4,3.529999971,2,2,2
18,9.56634268,12.24087462,NG,18,NGP018000000000000000,Jigawa,3,12,2.960000038,3,3,3
19,7.705650948,10.39028379,NG,19,NGP001000000000000000,Kaduna,1.940000057,2,2.75999999,2,2,2
20,8.526706311,11.74657813,NG,20,NGP020000000000000000,Kano,2.400000095,2,2.970000029,2,2,2
21,7.626335235,12.37872206,NG,21,NGP021000000000000000,Katsina,4.570000172,3,3.480000019,2,2,2
22,4.509853345,11.75323562,NG,22,NGP022000000000000000,Kebbi,0,0,0,0,0,0
23,6.691978851,7.732991138,NG,23,NGP023000000000000000,Kogi,2.950000048,4,3.150000095,2,2,2
24,4.385351256,8.966049578,NG,24,NGP024000000000000000,Kwara,3.339999914,5,3.200000048,2,2,2
25,3.59063601,6.521774881,NG,25,NGP025000000000000000,Lagos,2.720000029,3,3.470000029,2,2,2
26,8.193090818,8.506516096,NG,26,NGP026000000000000000,Nassarawa,4.25,12,2.99000001,2,2,2
27,5.586242216,9.937419239,NG,27,NGP027000000000000000,Niger,4.400000095,3,3.079999924,2,2,2
28,3.474498733,6.993532711,NG,28,NGP028000000000000000,Ogun,2.950000048,4,3.079999924,2,2,2
29,5.149201612,6.916116645,NG,29,NGP029000000000000000,Ondo,2.720000029,4,3.170000076,2,2,2
30,4.520820857,7.562151508,NG,30,NGP030000000000000000,Osun,3.029999971,4,3.140000105,2,2,2
31,3.614425375,8.157841745,NG,31,NGP031000000000000000,Oyo,2.910000086,4,3.089999914,2,2,2
32,9.509144612,9.230917917,NG,32,NGP032000000000000000,Plateau,4,11,2.839999914,3,2,2
33,6.912384023,4.839139112,NG,33,NGP033000000000000000,Rivers,2.25,6,3.029999971,2,2,2
34,5.318391371,13.03753437,NG,34,NGP034000000000000000,Sokoto,4.5,8,3.210000038,3,3,3
35,10.77636756,8.019766012,NG,35,NGP035000000000000000,Taraba,6,3,3,2,2,2
36,14.45,13.11,,36,NGP036000000000000000,Water body,0,0,0,0,0,0
37,11.430305,12.29902615,NG,37,NGP037000000000000000,Yobe,0,0,0,0,0,0
38,6.246620947,12.09470562,NG,38,NGP038000000000000000,Zamfara,2.5,11,2.829999924,3,3,3
